date,state,fips,cases,deaths
2021-11-3,Massachusetts,25,857959,19046
2021-11-3,Michigan,26,1295049,23855
2021-11-3,Minnesota,27,808080,8885
2021-11-3,Mississippi,28,505661,10134
2021-11-3,Missouri,29,875380,12912
2021-11-3,Montana,30,179173,2396
2021-11-3,Nebraska,31,287345,2987
2021-11-3,Nevada,32,453297,7677
2021-11-3,New Hampshire,33,137778,1581
2021-11-3,New Jersey,34,1202251,28011
2021-11-3,New Mexico,35,279670,5087
2021-11-3,New York,36,2570550,56114
2021-11-3,North Carolina,37,1487237,18208
2021-11-3,North Dakota,38,149892,1815
2021-11-3,Northern Mariana Islands,69,312,3
2021-11-3,Ohio,39,1556208,24763
2021-11-3,Oklahoma,40,646763,10879
2021-11-3,Oregon,41,369815,4469
2021-11-3,Pennsylvania,42,1575184,31711
2021-11-3,Puerto Rico,72,218616,3236
2021-11-3,Rhode Island,44,180488,2881
2021-11-3,South Carolina,45,900464,13803
2021-11-3,South Dakota,46,156123,2253
2021-11-3,Tennessee,47,1255500,16315
2021-11-3,Texas,48,4243192,71862
2021-11-3,Utah,49,556578,3262
2021-11-3,Vermont,50,40727,374
2021-11-3,Virgin Islands,78,7251,82
2021-11-3,Virginia,51,930679,14052
2021-11-3,Washington,53,736362,8784
2021-11-3,West Virginia,54,274508,4490
2021-11-3,Wisconsin,55,893124,9495
2021-11-3,Wyoming,56,104403,1243
2021-11-4,Alabama,1,834582,15734
2021-11-4,Alaska,2,140319,722
2021-11-4,American Samoa,60,4,0
2021-11-4,Arizona,4,1179072,21290
2021-11-4,Arkansas,5,514967,8452
2021-11-4,California,6,4951490,72560
2021-11-4,Colorado,8,760541,8543
2021-11-4,Connecticut,9,404649,8776
2021-11-4,Delaware,10,145056,2101
2021-11-4,District of Columbia,11,64708,1193
2021-11-4,Florida,12,3656010,59670
2021-11-4,Georgia,13,1604539,28345
2021-11-4,Guam,66,19476,249
2021-11-4,Hawaii,15,81960,929
2021-11-4,Idaho,16,295202,3630
2021-11-4,Illinois,17,1715452,28803
2021-11-4,Indiana,18,1031553,16859
2021-11-4,Iowa,19,491463,7069
2021-11-4,Kansas,20,439267,6477
2021-11-4,Kentucky,21,755251,9962
2021-11-4,Louisiana,22,761311,14597
2021-11-4,Maine,23,106473,1197
2021-11-4,Maryland,24,563927,10939
2021-11-4,Massachusetts,25,859713,19069
2021-11-4,Michigan,26,1295049,23855
2021-11-4,Minnesota,27,811778,8917
2021-11-4,Mississippi,28,506042,10134
2021-11-4,Missouri,29,876603,12916
2021-11-4,Montana,30,179965,2405
2021-11-4,Nebraska,31,288257,2988
2021-11-4,Nevada,32,454319,7692
2021-11-4,New Hampshire,33,138511,1592
2021-11-4,New Jersey,34,1203755,28011
2021-11-4,New Mexico,35,281282,5103
2021-11-4,New York,36,2575181,56144
2021-11-4,North Carolina,37,1489294,18228
2021-11-4,North Dakota,38,150503,1820
2021-11-4,Northern Mariana Islands,69,312,3
2021-11-4,Ohio,39,1560695,24763
2021-11-4,Oklahoma,40,647633,10879
2021-11-4,Oregon,41,371001,4543
2021-11-4,Pennsylvania,42,1580346,31783
2021-11-4,Puerto Rico,72,218770,3239
2021-11-4,Rhode Island,44,180809,2881
2021-11-4,South Carolina,45,901314,13832
2021-11-4,South Dakota,46,156564,2260
2021-11-4,Tennessee,47,1256710,16345
2021-11-4,Texas,48,4246805,71987
2021-11-4,Utah,49,558845,3276
2021-11-4,Vermont,50,41254,380
2021-11-4,Virgin Islands,78,7260,83
2021-11-4,Virginia,51,932173,14089
2021-11-4,Washington,53,738602,8822
2021-11-4,West Virginia,54,275396,4511
2021-11-4,Wisconsin,55,896589,9523
2021-11-4,Wyoming,56,104940,1243
2021-11-5,Alabama,1,835157,15786
2021-11-5,Alaska,2,141182,723
2021-11-5,American Samoa,60,4,0
2021-11-5,Arizona,4,1182885,21348
2021-11-5,Arkansas,5,515524,8472
2021-11-5,California,6,4959010,72650
2021-11-5,Colorado,8,764816,8594
2021-11-5,Connecticut,9,404969,8790
2021-11-5,Delaware,10,145056,2101
2021-11-5,District of Columbia,11,64799,1193
2021-11-5,Florida,12,3657775,60334
2021-11-5,Georgia,13,1605752,28430
2021-11-5,Guam,66,19555,249
2021-11-5,Hawaii,15,82071,941
2021-11-5,Idaho,16,295999,3645
2021-11-5,Illinois,17,1718384,28832
2021-11-5,Indiana,18,1033866,16898
2021-11-5,Iowa,19,491463,7069
2021-11-5,Kansas,20,441278,6524
2021-11-5,Kentucky,21,756576,10017
2021-11-5,Louisiana,22,761849,14615
2021-11-5,Maine,23,107074,1204
2021-11-5,Maryland,24,564795,10956
2021-11-5,Massachusetts,25,861480,19087
2021-11-5,Michigan,26,1307187,23951
2021-11-5,Minnesota,27,815132,8952
2021-11-5,Mississippi,28,506556,10148
2021-11-5,Missouri,29,877809,12926
2021-11-5,Montana,30,180649,2417
2021-11-5,Nebraska,31,289282,3001
2021-11-5,Nevada,32,455163,7713
2021-11-5,New Hampshire,33,139324,1597
2021-11-5,New Jersey,34,1205140,28062
2021-11-5,New Mexico,35,282742,5115
2021-11-5,New York,36,2580040,56191
2021-11-5,North Carolina,37,1491128,18264
2021-11-5,North Dakota,38,151077,1824
2021-11-5,Northern Mariana Islands,69,343,3
2021-11-5,Ohio,39,1565043,25067
2021-11-5,Oklahoma,40,648209,10879
2021-11-5,Oregon,41,372137,4562
2021-11-5,Pennsylvania,42,1585476,31855
2021-11-5,Puerto Rico,72,218887,3239
2021-11-5,Rhode Island,44,181079,2881
2021-11-5,South Carolina,45,902329,13841
2021-11-5,South Dakota,46,156995,2267
2021-11-5,Tennessee,47,1257642,16372
2021-11-5,Texas,48,4249894,72125
2021-11-5,Utah,49,560717,3286
2021-11-5,Vermont,50,41644,383
2021-11-5,Virgin Islands,78,7275,83
2021-11-5,Virginia,51,933542,14125
2021-11-5,Washington,53,740161,8844
2021-11-5,West Virginia,54,276267,4518
2021-11-5,Wisconsin,55,899804,9542
2021-11-5,Wyoming,56,105318,1243
2021-11-6,Alabama,1,835740,15834
2021-11-6,Alaska,2,141182,723
2021-11-6,American Samoa,60,4,0
2021-11-6,Arizona,4,1186477,21408
2021-11-6,Arkansas,5,515979,8483
2021-11-6,California,6,4960633,72671
2021-11-6,Colorado,8,765574,8598
2021-11-6,Connecticut,9,404969,8790
2021-11-6,Delaware,10,145612,2119
2021-11-6,District of Columbia,11,64799,1193
2021-11-6,Florida,12,3659255,60334
2021-11-6,Georgia,13,1605752,28430
2021-11-6,Guam,66,19555,249
2021-11-6,Hawaii,15,82159,947
2021-11-6,Idaho,16,296348,3647
2021-11-6,Illinois,17,1718384,28832
2021-11-6,Indiana,18,1033866,16898
2021-11-6,Iowa,19,494407,7069
2021-11-6,Kansas,20,441278,6524
2021-11-6,Kentucky,21,756576,10017
2021-11-6,Louisiana,22,761849,14615
2021-11-6,Maine,23,107772,1207
2021-11-6,Maryland,24,565586,10965
2021-11-6,Massachusetts,25,861480,19087
2021-11-6,Michigan,26,1307187,23951
2021-11-6,Minnesota,27,815132,8952
2021-11-6,Mississippi,28,506556,10148
2021-11-6,Missouri,29,879020,12932
2021-11-6,Montana,30,180649,2417
2021-11-6,Nebraska,31,289282,3001
2021-11-6,Nevada,32,455163,7713
2021-11-6,New Hampshire,33,139324,1597
2021-11-6,New Jersey,34,1206543,28080
2021-11-6,New Mexico,35,282742,5115
2021-11-6,New York,36,2583891,56225
2021-11-6,North Carolina,37,1491130,18264
2021-11-6,North Dakota,38,151680,1827
2021-11-6,Northern Mariana Islands,69,343,3
2021-11-6,Ohio,39,1567834,25067
2021-11-6,Oklahoma,40,648209,10879
2021-11-6,Oregon,41,372137,4562
2021-11-6,Pennsylvania,42,1590139,31898
2021-11-6,Puerto Rico,72,219035,3244
2021-11-6,Rhode Island,44,181079,2881
2021-11-6,South Carolina,45,902329,13841
2021-11-6,South Dakota,46,156995,2267
2021-11-6,Tennessee,47,1257642,16372
2021-11-6,Texas,48,4252114,72235
2021-11-6,Utah,49,560717,3286
2021-11-6,Vermont,50,41908,384
2021-11-6,Virgin Islands,78,7275,83
2021-11-6,Virginia,51,933542,14125
2021-11-6,Washington,53,740161,8844
2021-11-6,West Virginia,54,277133,4518
2021-11-6,Wisconsin,55,899804,9542
2021-11-6,Wyoming,56,105318,1243
2021-11-7,Alabama,1,836032,15834
